ITA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1822;Piaggio;T1822;4;1930;1970;electronics;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1823;Astaldi;T1823;4;1930;1945;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1824;Scuola Centrale di Alpinismo;T1824;7;1930;1970;mountain_training;small_unit_tactics;training;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1825;Accademia Aeronautica di Pozzuoli;T1825;4;1938;1970;rt_user_4;decentralized_execution;training;rt_user_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1826;Accademia Navale di Livorno;T1826;4;1930;1970;rt_user_7;rt_user_11;rt_user_14;rt_user_16;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1827;Odero Terni Orlando;T1827;3;1930;1970;submarine_tactics;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1829;Castel Benito;T1829;4;1930;1970;small_unit_tactics;airborne_training;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1831;Regia Scuola Sommergibilisti di Pola;T1831;4;1930;1970;small_taskforce_tactics;rt_user_10;seamanship;rt_user_13;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1833;Alberto Pariani;T1847;3;1930;1938;combined_arms_focus;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1845;Edoardo Quarra Sito;T1845;5;1938;1943;combined_arms_focus;training;BLITZKRIEG_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1835;Agip;T1835;6;1945;1970;mathematics;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1836;Finmeccanica S.p.A.;T1836;5;1945;1970;mechanics;electronics;management;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x 
1837;OTO Melara;T1837;6;1953;1970;training;artillery;mechanics;chemistry;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1838;Fiat S.p.A.;T1838;6;1945;1970;mechanics;artillery;general_equipment;rt_user_17;rt_user_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1839;Fincantieri;T1839;5;1959;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1840;Fiat Aviazione;T1838;7;1952;1970;general_equipment;aeronautics;aircraft_testing;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1841;Aerfer;T1841;6;1955;1970;technical_efficiency;aeronautics;aircraft_testing;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1842;Aermacchi;T1842;8;1949;1952;general_equipment;aeronautics;aircraft_testing;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1843;Renato Sandalli;T1843;5;1944;1970;centralized_execution;rt_user_6;decentralized_execution;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1844;Raffaele de Courten;T1844;4;1944;1970;training;decentralized_execution;rt_user_7;rt_user_9;rt_user_11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1849;Giuseppe Fioravanzo;T1849;4;1930;1959;carrier_tactics;rt_user_15;rt_user_8;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
