U01;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
810075;Foreign Minister;Ramiro de Maeztu;36;SC;Ideological Crusader;High;M10075;x
810077;Foreign Minister;Francisco de Borbón de la Torre;41;SC;General Staffer;Medium;M10077;x
810080;Foreign Minister;Jacobo Fitz-James Stuart;45;SC;Biased Intellectual;Medium;M10080;x
810081;Foreign Minister;José Yanguas Messía;36;SC;Great Compromiser;High;M11150;x
810082;Foreign Minister;Claudio Sánchez Albornoz;36;ML;Ideological Crusader;High;M11072;x
810083;Foreign Minister;José Martínez de Velasco;37;ML;Iron Fisted Brute;Low;M11110;x
810084;Foreign Minister;Luis Luciá Luciá;38;ML;Biased Intellectual;Low;M11113;x
810085;Foreign Minister;José Ungría Jiménez;40;FA;General Staffer;High;M10085;x
810086;Foreign Minister;Niceto Alcalá-Zamora;41;ML;Great Compromiser;High;M11001;x
810087;Foreign Minister;José de Areilza y Martínez-Rodas;46;ML;The Cloak N Dagger Schemer;High;M10071;x
810088;Minister of Armament;José de Areilza y Martínez-Rodas;36;PA;laissez-faire capitalist;High;M10071;x
810089;Minister of Armament;Ramón Franco Bahamonde;37;PA;Air Superiority Proponent;Medium;M10089;x
810090;Minister of Armament;Fidel Dávila Arrondo;38;FA;Military Entrepreneur;High;M10002;x
810092;Minister of Armament;Nicolás Franco Bahamonde;36;PA;Battle Fleet Proponent;Very High;M10092;x
810093;Minister of Armament;Joaquin Benjumea Búrin;41;FA;Resource Industrialist;High;M10093;x
810094;Minister of Armament;José Larraz Lopez;39;FA;laissez-faire capitalist;High;M11139;x
810096;Minister of Armament;Mariano Ansó;46;PA;Air to Ground Proponent;Medium;M10096;x
810097;Minister of Armament;Joaquín Bau Nolla;37;FA;Administrative Genius;Medium;M10095;x
810098;Minister of Armament;Luís Hernando de Larramendi;39;FA;Resource Industrialist;High;M10067;x
810102;Minister of Armament;José María Lammamié;45;FA;laissez-faire capitalist;Medium;M10102;x
810103;Minister of Armament;Victor Pradera;46;FA;Theoretical Scientist;High;M10066;x
810047;Minister of Armament;J.A. Primo de Rivera de Heredia;36;FA;Resource Industrialist;High;M10036;x
810105;Minister of Armament;Raimundo Fernández Cuesta;37;FA;laissez-faire capitalist;High;M10105;x
810106;Minister of Armament;Manuel Hedilla Larrey;38;FA;Military Entrepreneur;High;M10050;x
810107;Minister of Armament;Onésimo Redondo Ortega;39;FA;Tank Proponent;High;M10107;x
810109;Minister of Armament;Sancho Dávila;41;FA;Infantry Proponent;Medium;M10109;x
810110;Minister of Armament;Agustín Aznar Guerner;42;FA;Air to Ground Proponent;Medium;M10110;x
810111;Minister of Armament;José Calvo-Sotelo;36;PA;laissez-faire capitalist;Very High;M11014;x
810112;Minister of Armament;José Enrique Varela Iglesias;36;SC;Military Entrepreneur;High;M10014;x
810113;Minister of Armament;Juan March Ordinas;36;SC;Administrative Genius;High;M10113;x
810115;Minister of Armament;Juan Ignacio Luca de Tena;39;SC;laissez-faire capitalist;Medium;M10115;x
810117;Minister of Armament;Alfredo Kindelán Duany;37;PA;Strategic Air Proponent;High;M10010;x
810118;Minister of Armament;Juan Vigón Suerodíaz;38;SC;Theoretical Scientist;High;M10118;x
810120;Minister of Armament;Francisco de Borbón de la Torre;38;SC;Tank Proponent;Medium;M10077;x
810121;Minister of Armament;Diego Hidalgo Dúran;36;ML;Military Entrepreneur;High;M11101;x
810123;Minister of Armament;Emilio Herrera;41;ML;Air Superiority Proponent;High;M11145;x
810124;Minister of Armament;Joaquín Chapaprieta Torregosa;42;ML;Resource Industrialist;High;M11155;x
810125;Minister of Armament;José María Gil-Robles Quiñones;43;ML;Resource Industrialist;High;M10012;x
810126;Minister of Armament;Luis Luciá Luciá;44;ML;Theoretical Scientist;Low;M11113;x
810127;Minister of Security;Pedro Sáinz Rodríguez;36;FA;Silent Lawyer;High;M10127;x
810128;Minister of Security;Severiano Martínez Anido;39;PA;Prince of Terror;Medium;M10128;x
810129;Minister of Security;Dionisio Ridruejo;38;PA;Back Stabber;Medium;M10129;x
810130;Minister of Security;Blas Pérez González;40;PA;Silent Lawyer;High;M10130;x
810131;Minister of Security;José Millán Astray;41;PA;Efficient Sociopath;Medium;M10131;x
810132;Minister of Security;Valentín Galarza Morante;40;PA;Compassionate Gentleman;High;M10132;x
810134;Minister of Security;Luis Valdés Cavanillas;42;PA;Prince of Terror;High;M10134;x
810135;Minister of Security;Tomás Garciano Goñi;36;PA;Compassionate Gentleman;Medium;M10135;x
810137;Minister of Security;Tomás Domínguez Arévalo;37;FA;Prince of Terror;High;M10099;x
810139;Minister of Security;Manuel Fal Conde;42;FA;Back Stabber;High;M10049;x
810140;Minister of Security;José María Lammamié;44;FA;Efficient Sociopath;Medium;M10102;x
810141;Minister of Security;Agustín Aznar Guerner;36;FA;Back Stabber;Medium;M10110;x
810142;Minister of Security;Ramiro Ledesma Ramos;38;FA;Silent Lawyer;High;M10069;x
810143;Minister of Security;Pilar Primo de Rivera;42;FA;Prince of Terror;High;M10037;x
810146;Minister of Security;Raimundo Fernández Cuesta;45;FA;Back Stabber;High;M10074;x
810147;Minister of Security;José Luís Arrese Magra;46;FA;Crime Fighter;High;M10072;x
810148;Minister of Security;Jacobo Fitz-James Stuart;36;SC;Compassionate Gentleman;Medium;M10080;x
810149;Minister of Security;José Yanguas Messía;39;SC;Efficient Sociopath;High;M11150;x
810150;Minister of Security;José Martínez de Velasco;41;SC;Crime Fighter;Low;M11110;x
810151;Minister of Security;Andrés Saliquet Zumeta;42;SC;Prince of Terror;Medium;M10015;x
810154;Minister of Security;Miguel Cabanellas Ferrer;36;SC;Crime Fighter;High;M10001;x
810156;Minister of Security;Gonzalo Queipo de Llano;37;ML;Back Stabber;High;M10055;x
810157;Minister of Security;Miguel Maura Gamazo;44;ML;Compassionate Gentleman;High;M11073;x
810284;Minister of Security;José Cortés López;36;FA;Silent Lawyer;High;M11073;x
810159;Head of Military Intelligence;Antonio Barroso Sánchez-Guerra;39;PA;Logistics Specialist;High;M10159;x
810160;Head of Military Intelligence;Juan Vigón Suerodíaz;39;PA;Technical Specialist;High;M10118;x
810162;Head of Military Intelligence;José Ungría Jiménez;36;PA;Industrial Specialist;High;M10085;x
810163;Head of Military Intelligence;Isidro Gomá y Tomás;36;FA;Dismal Enigma;High;M10065;x
810164;Head of Military Intelligence;Joaquín Bau Nolla;41;FA;Political Specialist;Medium;M10095;x
810165;Head of Military Intelligence;Luís Hernando de Larramendi;43;FA;Technical Specialist;High;M10067;x
810166;Head of Military Intelligence;Ricardo de Rada;37;FA;Logistics Specialist;High;M10166;x
810168;Head of Military Intelligence;Manuel Hedilla Larrey;36;FA;Political Specialist;High;M10050;x
810169;Head of Military Intelligence;José Luís Arrese Magra;39;FA;Dismal Enigma;High;M10072;x
810170;Head of Military Intelligence;Dionisio Ridruejo;42;FA;Technical Specialist;Medium;M10129;x
810171;Head of Military Intelligence;Onésimo Redondo Ortega;43;FA;Logistics Specialist;High;M10107;x
810173;Head of Military Intelligence;Enrique Plá y Deniel;36;SC;Political Specialist;Medium;M10063;x
810177;Head of Military Intelligence;Luis Orgaz Yoldi;36;SC;Logistics Specialist;High;M10016;x
810178;Head of Military Intelligence;Ricardo Samper Ibáñez;36;ML;Political Specialist;Medium;M11104;x
810179;Head of Military Intelligence;Juan March Ordinas;39;ML;Dismal Enigma;High;M10113;x
810180;Head of Military Intelligence;Diego Hidalgo Dúran;40;ML;Logistics Specialist;High;M11101;x
810181;Head of Military Intelligence;Luis Luciá Luciá;41;ML;Technical Specialist;Low;M11113;x
810182;Head of Military Intelligence;Joaquín Chapaprieta Torregosa;43;ML;Industrial Specialist;High;M11155;x
810285;Head of Military Intelligence;Severiano Martínez Anido;38;PA;Political Specialist;Medium;M10128;x
810183;Chief of Staff;Francisco Franco Bahamonde;36;PA;School of Psychology;Very High;L3426;x
810184;Chief of Staff;Juan Yagüe Blanco;37;PA;School of Manoeuvre;Medium;M10184;x
810186;Chief of Staff;José Enrique Varela Iglesias;39;PA;School of Fire Support;High;M10014;x
810187;Chief of Staff;Carlos Asensio Cabanillas;45;PA;School of Fire Support;High;M10187;x
810188;Chief of Staff;José Sanjurjo Sacanell;36;FA;School of Psychology;High;M10040;x
810189;Chief of Staff;Emilio Mola Vidal;36;FA;School of Manoeuvre;High;M10008;x
810190;Chief of Staff;Javier de Borbón-Parma;39;FA;School of Defence;High;M10034;x
810191;Chief of Staff;Ricardo de Rada;40;FA;School of Defence;High;M10166;x
810193;Chief of Staff;Agustín Aznar Guerner;38;FA;School of Psychology;High;M10070;x
810194;Chief of Staff;Agustín Muñoz Grandes;39;FA;School of Fire Support;High;M10194;x
810196;Chief of Staff;Sancho Dávila;41;FA;School of Defence;Medium;M10109;x
810197;Chief of Staff;Onésimo Redondo Ortega;43;FA;School of Manoeuvre;High;M10107;x
810200;Chief of Staff;Gonzalo Queipo de Llano;38;SC;School of Defence;High;M10055;x
810202;Chief of Staff;Joaquin Fanjul Goñi;43;SC;School of Fire Support;Medium;M10202;x
810204;Chief of Staff;Miguel Cabanellas Ferrer;38;ML;School of Psychology;High;M10001;x
810206;Chief of Army;Fidel Dávila Arrondo;36;PA;Static Defence Doctrine;High;M10002;x
810207;Chief of Army;Rafael García Valiño;39;PA;Decisive Battle Doctrine;High;M10207;x
810208;Chief of Army;Carlos Asensio Cabanillas;39;PA;Armoured Spearhead Doctrine;High;M10208;x
810209;Chief of Army;Juan Yagüe Blanco;39;PA;Elastic Defence Doctrine;Medium;M10184;x
810210;Chief of Army;José Enrique Varela Iglesias;39;PA;Guns and Butter Doctrine;High;M10014;x
810211;Chief of Army;José Sanjurjo Sacanell;36;FA;Armoured Spearhead Doctrine;High;M10040;x
810214;Chief of Army;Ricardo de Rada;37;FA;Static Defence Doctrine;High;M10166;x
810216;Chief of Army;Agustín Aznar Guerner;38;FA;Guns and Butter Doctrine;High;M10070;x
810217;Chief of Army;Agustín Muñoz Grandes;39;FA;Armoured Spearhead Doctrine;High;M10194;x
810219;Chief of Army;Onésimo Redondo Ortega;41;FA;Static Defence Doctrine;High;M10107;x
810220;Chief of Army;Sancho Dávila;41;FA;Decisive Battle Doctrine;Medium;M10109;x
810225;Chief of Army;Antonio Aranda Mata;42;SC;static defence doctrine;Low;M10018;x
810227;Chief of Army;Miguel Cabanellas Ferrer;38;ML;Static Defence Doctrine;High;M10001;x
810228;Chief of Army;Gonzalo Queipo de Llano;39;ML;Guns and Butter Doctrine;High;M10055;x
810229;Chief of Navy;Carlos Bareda Terry;36;PA;Indirect Approach Doctrine;High;M10229;x
810230;Chief of Navy;Salvador Moreno Fernández;38;PA;Decisive Naval Battle Doctrine;High;M10230;x
810231;Chief of Navy;Nicolás Franco Bahamonde;41;PA;Power Projection Doctrine;Very High;M10092;x
810232;Chief of Navy;Luis Carrero Blanco;44;PA;Base Control Doctrine;High;M10232;x
810233;Chief of Navy;Francisco Reglado Rodríguez;44;PA;Open Seas Doctrine;High;M10233;x
810235;Chief of Navy;José María Lammamié;42;FA;Indirect Approach Doctrine;Medium;M10102;x
810236;Chief of Navy;Tomás Domínguez Arévalo;43;FA;Base Control Doctrine;High;M10048;x
810237;Chief of Navy;J. de Areilza y Martínez-Rodas;36;FA;Decisive Naval Battle Doctrine;High;M10071;x
810239;Chief of Navy;José Millán Astray;41;SC;Base Control Doctrine;Medium;M10131;x
810240;Chief of Navy;Ramiro Ledesma Ramos;43;FA;Open Seas Doctrine;High;M10069;x
810242;Chief of Navy;Francisco Núñez de Olaneta;36;PA;Base Control Doctrine;High;M10019;x
810245;Chief of Navy;Antonio Azarola Gresillón;36;ML;Open Seas Doctrine;High;M11009;x
810246;Chief of Navy;Miguel Maura Gamazo;40;ML;Decisive Naval Battle Doctrine;High;M11073;x
810247;Chief of Air Force;Ramón Franco Bahamonde;36;PA;Naval Aviation Doctrine;High;M10089;x
810249;Chief of Air Force;Juan Yagüe Blanco;39;PA;Air Superiority Doctrine;Medium;M10184;x
810250;Chief of Air Force;Eduardo González Gallarza;44;PA;Vertical Envelopment Doctrine;High;M10250;x
810251;Chief of Air Force;Juan Vigón Suerodíaz;40;PA;Army Aviation Doctrine;High;M10118;x
810252;Chief of Air Force;J. de Clairac de la Colina;36;FA;Vertical Envelopment Doctrine;Medium;M10252;x
810254;Chief of Air Force;Tomás Domínguez Arévalo;41;FA;Air Superiority Doctrine;High;M10048;x
810255;Chief of Air Force;Manuel Fal Conde;42;FA;Naval Aviation Doctrine;High;M10049;x
810257;Chief of Air Force;José Luís Arrese Magra;38;FA;Army Aviation Doctrine;High;M10072;x
810258;Chief of Air Force;J. de Areilza y Martínez-Rodas;41;FA;Carpet Bombing Doctrine;High;M10071;x
810259;Chief of Air Force;Ramiro Ledesma Ramos;43;FA;Air Superiority Doctrine;High;M10069;x
810260;Chief of Air Force;Francisco Reglado Rodríguez;45;FA;Naval Aviation Doctrine;High;M10233;x
810262;Chief of Air Force;Juan I.L. de Tena García;38;SC;Vertical Envelopment Doctrine;Low;M10262;x
810263;Chief of Air Force;Juan Ansaldo Vejarano;37;SC;Air Superiority Doctrine;High;M10263;x
810266;Chief of Air Force;Andrés Saliquet Zumeta;36;ML;Naval Aviation Doctrine;High;M10266;x
810267;Chief of Air Force;Emilio Herrera;38;ML;Army Aviation Doctrine;High;M11145;x
810268;Chief of Air Force;Diego Hidalgo Dúran;40;ML;Air Superiority Doctrine;High;M11101;x
810269;Chief of Air Force;Rudolf von Moreau;42;ML;Carpet Bombing Doctrine;High;M10269;x
810270;Chief of Air Force;Camilo Alonso Vega;44;ML;Vertical Envelopment Doctrine;High;M10270;x
810272;Minister of Armament;Tomás Domínguez Arévalo;36;PA;Air to Ground Proponent;High;M10271;x
810273;Minister of Armament;Diego Hidalgo Durán;38;SC;Military Entrepreneur;High;M11101;x
810274;Minister of Security;Tomás Domínguez Arévalo;36;PA;Prince of Terror;High;M10271;x
810275;Minister of Security;Emilio Mola Vidal;37;PA;Prince of Terror;Medium;M10008;x
810276;Chief of Army;Francisco Franco Bahamonde;36;PA;Decisive Battle Doctrine;Very High;L3426;x
810277;Chief of Navy;J. de Clairac de la Colina;36;FA;Indirect Approach Doctrine;High;M10252;x
810278;Head of State;Emilio Mola Vidal;36;FA;Resigned Generalissimo;Very High;M10008;x
810279;Head of State;José Sanjurjo Sacanell;36;PA;Resigned Generalissimo;Very High;M10040;x
810280;Head of State;José Calvo-Sotelo;36;SC;Insignificant Layman;Very High;M11014;x
810281;Head of Government;José Sanjurjo Sacanell;36;PA;Old General;Very High;M10040;x
810282;Head of Government;José Antonio Primo de Rivera;36;FA;Silent Workhorse;Very High;M10036;x
810283;Minister of Security;José Antonio Primo de Rivera;36;FA;Efficient Sociopath;Very High;M10036;x
810013;Foreign Minister;Juan Beigbéder Atienza;36;PA;Apologetic Clerk;Medium;M10013;x
810017;Chief of Staff;Luís Orgaz Yoldi;36;PA;school of defence;Medium;M10016;x
810019;Chief of Navy;Francisco Nunez de Olaneta;36;PA;Indirect Approach Doctrine;High;M10019;x
810020;Chief of Air Force;Alfredo Kindelán Duany ;36;PA;Carpet Bombing Doctrine;High;M10010;x
810021;Head of State;José Díaz Ramos;36;ST;Powerhungry Demagogue;High;M10021;x
810022;Head of Government;José Díaz Ramos;36;ST;Backroom Backstabber;High;M10021;x
810023;Foreign Minister;Julio Álvarez del Vayo;36;ST;Ideological Crusader;High;M10023;x
810024;Minister of Armament;Enrique Castro Delgado;36;ST;Infantry Proponent;High;M10024;x
810025;Minister of Security;Santiago Carrillo Solares;36;LE;Prince of Terror;Very High;M10025;x
810026;Head of Military Intelligence;José Díaz Ramos;36;LE;Technical Specialist;Medium;M10021;x
810027;Chief of Staff;Miguel Tagüeña Lacorte;36;LE;School of Manoeuvre;Very High;M10027;x
810028;Chief of Army;Enrique Líster Forján;36;LE;Decisive Battle Doctrine;Very High;M10028;x
810029;Chief of Navy;Francisco Galán Rodríguez;36;LE;Open Seas Doctrine;Medium;M10029;x
810030;Chief of Air Force;Ignacio Hidalgo de Cisneros;36;LE;Air Superiority Doctrine;High;M10030;x
