u00;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
952288;Minister of Armament;Nakajima Chikuhei;45;FA;Air to Sea Proponent;Medium;M5093;x
952289;Minister of Armament;Kato Sotomatsu;43;FA;Tank Proponent;Medium;M5094;x
952290;Minister of Armament;Tokuda Kyuichi;36;LWR;Resource Industrialist;Low;M5014;x
952291;Minister of Security;Yamamoto Tatsuo;36;SD;Compassionate Gentleman;High;M5096;x
952292;Minister of Security;Goto Fumio;41;SD;Silent Lawyer;High;M5005;x
952293;Minister of Security;Kimura Kozaemon;45;SD;Crime Fighter;High;M5098;x
952294;Minister of Security;Kawarada Kakichi;36;SC;Prince of Terror;High;M5099;x
952295;Minister of Security;Obara Naoshi;39;SC;Back Stabber;Medium;M5100;x
952296;Minister of Security;Omura Seiichi;45;SC;Silent Lawyer;Very High;M5101;x
952297;Minister of Security;Horikiri Zenjiro;45;SC;Compassionate Gentleman;Medium;M5102;x
952298;Minister of Security;Yamazaki Iwao;45;SC;Prince of Terror;Medium;M5103;x
952299;Minister of Security;Ushio Shigenosuke;36;PA;Crime Fighter;Very High;M5105;x
952300;Minister of Security;Suetsugu Nobumasa;37;PA;Silent Lawyer;Medium;M5106;x
952301;Minister of Security;Baba Eiichi;37;PA;Prince of Terror;Medium;M5107;x
952302;Minister of Security;Kido Koichi;39;PA;Prince of Terror;Medium;M5108;x
952303;Minister of Security;Yasui Eiji;41;PA;Crooked Kleptocrat;High;M5110;x
952304;Minister of Security;Kobayashi Seizo;42;PA;Efficient Sociopath;High;M5111;x
952305;Minister of Security;Tanabe Harumichi;43;PA;Crime Fighter;Medium;M5112;x
952306;Minister of Security;Yusawa Michio;44;PA;Compassionate Gentleman;Medium;M5113;x
952307;Minister of Security;Abe Genki;46;PA;Silent Lawyer;Medium;M5114;x
952308;Minister of Security;Fujie Keisuke;36;FA;Crooked Kleptocrat;Medium;M5115;x
952309;Minister of Security;Nakajima Kesago;37;FA;Efficient Sociopath;Medium;M5116;x
952310;Minister of Security;Tanaka Seiichi;38;FA;Back Stabber;Medium;M5117;x
952311;Minister of Security;Hirabayashi Morito;39;FA;Compassionate Gentleman;Medium;M5118;x
952312;Minister of Security;Hiranuma Kiichiro;40;FA;Silent Lawyer;Medium;M5119;x
952313;Minister of Security;Teshima Fusataro;40;FA;Prince of Terror;Medium;M5120;x
952314;Minister of Security;Kodama Hideo;41;FA;Silent Lawyer;Low;M5109;x
952315;Minister of Security;Nakamura Aketo;41;FA;Crime Fighter;Medium;M5122;x
952316;Minister of Security;Tojo Hideki;42;FA;Prince of Terror;Medium;M5042;x
952317;Minister of Security;Kato Hakujiro;43;FA;Compassionate Gentleman;Medium;M5124;x
952318;Minister of Security;Odachi Shigeo;44;FA;Efficient Sociopath;Medium;M5125;x
952319;Minister of Security;Iimura Jo;45;FA;Prince of Terror;Medium;M5126;x
952320;Minister of Security;Nosaka Sanzo;36;LE;Back Stabber;Very High;M5015;x
952321;Head of Military Intelligence;Nosako Sanzo;37;SD;Industrial Specialist;Low;M5011;x
952322;Head of Military Intelligence;Katayama Tetsu;45;SD;Naval Intelligence Specialist;Medium;M5027;x
952323;Head of Military Intelligence;Ugaki Kazushige;36;SC;Political Specialist;Medium;M5051;x
952324;Head of Military Intelligence;Machida Chuji;41;SC;Technical Specialist;High;M5004;x
952325;Head of Military Intelligence;Ogawa Gotaro;45;SC;Dismal Enigma;Medium;M5072;x
952326;Head of Military Intelligence;Horikiri Zenjiro;47;SC;Logistics Specialist;Medium;M5102;x
952327;Head of Military Intelligence;Takasu Shiro;36;PA;Industrial Specialist;Medium;M5134;x
952328;Head of Military Intelligence;Nomura Naokuni;37;PA;Naval Intelligence Specialist;Medium;M5135;x
952329;Head of Military Intelligence;Kano Jigoro;38;PA;Dismal Enigma;Medium;M5136;x
952330;Head of Military Intelligence;Oka Takazumi;39;PA;Logistics Specialist;Medium;M5137;x
952331;Head of Military Intelligence;Maeda Minoru;40;PA;Technical Specialist;Medium;M5138;x
952332;Head of Military Intelligence;Suzuki Kantaro;45;PA;Political Specialist;Medium;M5037;x
952333;Head of Military Intelligence;Honma Masaharu;37;FA;Dismal Enigma;Medium;M5141;x
952334;Head of Military Intelligence;Higuchi Kiichiro;38;FA;Logistics Specialist;Medium;M5142;x
952335;Head of Military Intelligence;Araki Sadao;39;FA;Naval Intelligence Specialist;Medium;M5143;x
952336;Head of Military Intelligence;Tsuchihashi Yuitsu;40;FA;Technical Specialist;Medium;M5144;x
952337;Head of Military Intelligence;Koiso Kuniaki;43;FA;Industrial Specialist;Medium;M5043;x
952338;Head of Military Intelligence;Miyamoto Kenji;36;LE;Industrial Specialist;Medium;M5012;x
952339;Chief of Staff;Tasuku Nakazawa;37;SD;School of Psychology;Very Low;M5147;x
952340;Chief of Staff;Osamura Kajika;47;SD;School of Fire Support;Very Low;M5148;x
952341;Chief of Staff;Hirotsugu Hayashida;36;SC;School of Fire Support;Very Low;M5149;x
952342;Chief of Staff;Kanichiro Tashiro;41;SC;School of Psychology;Very Low;M5150;x
952343;Chief of Staff;Kazuo Tanigawa;45;SC;School of Manoeuvre;Very Low;M5151;x
952344;Chief of Staff;Abe Nobuyuki;41;PA;School of Fire Support;Medium;M5035;x
952345;Chief of Staff;Gunichi Mikawa;45;PA;School of Psychology;Medium;M5154;x
952346;Chief of Staff;Sugiyama Hajime;36;FA;School of Defence;Medium;M5155;x
952347;Chief of Staff;Tojo Hideki;41;FA;School of Psychology;Medium;M5042;x
952348;Chief of Staff;Umezu Yoshijiro;44;FA;School of Fire Support;Medium;M5157;x
952349;Chief of Staff;Ryonosuke Kusaka;36;LWR;School of Defence;Medium;M5017;x
952350;Chief of Army;Imai Takeo;37;SD;Elastic Defence Doctrine;Medium;M5018;x
952351;Chief of Army;Inanba Satoru;36;SC;Guns and Butter Doctrine;Medium;M5160;x
952352;Chief of Army;Tsuchihashi Yuitsu;45;SC;Decisive Battle Doctrine;Medium;M5144;x
952353;Chief of Army;Fujioka Takeo;41;PA;Elastic Defence Doctrine;Very Low;M5163;x
952354;Chief of Army;Aotsu Kikutara;45;PA;Guns and Butter Doctrine;Very Low;M5164;x
952355;Chief of Army;Sugiyama Hajime;36;FA;Decisive Battle Doctrine;Medium;M5155;x
952356;Chief of Army;Tojo Hideki;41;FA;Elastic Defence Doctrine;Medium;M5042;x
952357;Chief of Army;Umezu Yoshijiro;44;FA;Guns and Butter Doctrine;Medium;M5157;x
952358;Chief of Navy;Kawai Akira;37;SD;Open Seas Doctrine;Medium;M5019;x
952359;Chief of Navy;Shimada Shigetaro;36;SC;Open Seas Doctrine;Medium;M5170;x
952360;Chief of Navy;Toyoda Soemu;44;FA;Decisive Naval Battle Doctrine;Medium;M5171;x
952363;Chief of Navy;Oikawa Koshiro;44;PA;Base Control Doctrine;Medium;M5175;x
952364;Chief of Air Force;Fukui Yoshi;36;SD;Air Superiority Doctrine;Medium;M5020;x
952365;Chief of Air Force;Inoue Shigeyoshi;36;SC;Naval Aviation Doctrine;Medium;M5180;x
952366;Chief of Air Force;Tsukahara Nishizou;41;SC;Air Superiority Doctrine;Medium;M5181;x
952367;Chief of Air Force;Oikawa Koshiro;36;PA;Naval Aviation Doctrine;Medium;M5175;x
952368;Chief of Air Force;Higashikuni Naruhiko;37;PA;Carpet Bombing Doctrine;Medium;M5038;x
952369;Chief of Air Force;Toyoda Teijiro;38;PA;Vertical Envelopment Doctrine;Medium;M5061;x
952370;Chief of Air Force;Wada Misao;45;PA;Vertical Envelopment Doctrine;Medium;M5182;x
952372;Chief of Air Force;Tojo Hideki;38;FA;Army Aviation Doctrine;Medium;M5042;x
952373;Chief of Air Force;Yamashita Tomoyuki;40;FA;Carpet Bombing Doctrine;Medium;M5192;x
952374;Chief of Air Force;Doihara Kenji;41;FA;Naval Aviation Doctrine;Medium;M5193;x
952375;Chief of Air Force;Anami Korechika;42;FA;Vertical Envelopment Doctrine;Medium;M5194;x
952376;Chief of Air Force;Ushiroku Jun;43;FA;Army Aviation Doctrine;Medium;M5195;x
952377;Chief of Air Force;Sugawara Michio;44;FA;Air Superiority Doctrine;Medium;M5196;x
952378;Chief of Air Force;Kawabe Masakazu;45;PA;Army Aviation Doctrine;Medium;M5197;x
952381;Chief of Navy;Koga Mineichi;43;FA;Decisive Naval Battle Doctrine;Very High;L101243;x
952382;Chief of Navy;Ozawa Jisaburo;37;PA;Open Seas Doctrine;High;L101273;x
952383;Head of Government;Konoe Fumimaro;40;PA;Flamboyant Tough Guy;High;M5034;x
952384;Foreign Minister;Suzuki Kantaro;45;PA;Biased Intellectual;High;M5037;x
