0_PERSONALITY_none_ 						

// Head of State:				Effects:
45_PERSONALITY_STRATEGIC_AIR_PROPONENT_ 	strategic bombers construction -10%. 

// Minister of Security:
46_PERSONALITY_BACK_STABBER_ 			CG need +5%.
47_PERSONALITY_COMPASSIONATE_GENTLEMAN_ 	Foreign IC +5%. Foreign Manpower use +5%. 
48_PERSONALITY_CRIME_FIGHTER_ 			CG need -10%. 
49_PERSONALITY_CROOKED_KLEPTOCRAT_  		IC -3%.  
50_PERSONALITY_EFFICIENT_SOCIOPATH_ 		Foreign IC +10%. Manpower growth -10%.
51_PERSONALITY_MAN_OF_THE_PEOPLE_ 		Foreign Manpower use +10%  Manpower growth +10%. 
52_PERSONALITY_PRINCE_OF_TERROR_ 		foreign IC +15%. CG need +10%. 
53_PERSONALITY_SILENT_LAWYER_ 			CG need -5%.

// Head of Military Intelligence:
54_PERSONALITY_DISMAL_ENIGMA_ 			    Intell +5%, send spy chance +5%, counter espionage chance +5%.
55_PERSONALITY_INDUSTRIAL_SPECIALIST_ 		IC +5%, Steal Blueprint +5% chance, sabotage industry +5% chance  
56_PERSONALITY_LOGISTICS_SPECIALIST_ 		land units detection +30% 
57_PERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST 	naval units detection +20%. Steal Blueprints chance +5%, sabotage techteam chance +5%.
58_PERSONALITY_POLITICAL_SPECIALIST_ 		Influence nations chance +20%, Coup nation, assassinate minister, smear campaign, fund partisans and global manipulation chance +5%
59_PERSONALITY_TECHNICAL_SPECIALIST_ 		research +5%, steal blueprint chance +5%, nuclear sabotage chance +5%, sabotage techteam chance +5% 

// Chief of Staff:
60_PERSONALITY_SCHOOL_OF_DEFENCE_		Def. combat modifier +10% 
61_PERSONALITY_SCHOOL_OF_FIRE_SUPPORT_ 		5% cost and time reduction to Armor and Artillery research. 5% cost and time reduction to art, SP.Art, RCT.Art and SP.RCT.Art brigade construction.
62_PERSONALITY_SCHOOL_OF_MASS_COMBAT_		Manpower growth +25%, Inf construction -5%.  
63_PERSONALITY_SCHOOL_OF_MANOEUVRE_ 		Land unit speed +10% 
64_PERSONALITY_SCHOOL_OF_PSYCHOLOGY_		organization regain +20% 

// Chief of Army:
65_PERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE	ARM, Mech,TD, SP.ART, SP.RCT.ART constr. -5%, ARM, Mech,TD, SP.ART, SP.RCT.ART off. combat mod. +5%
66_PERSONALITY_DECISIVE_BATTLE_DOCTRINE_	Inf, ART, RCT.ART AT.ART constr. -5% and off. combat mod. +5%.
67_PERSONALITY_ELASTIC_DEFENCE_DOCTRINE_	MOT, Mech, SP.ART, SP.RCT.ART, construction -5% deff. combat mod. +5%
68_PERSONALITY_GUNS_AND_BUTTER_DOCTRINE_	Units consume 15% less supplies.
69_PERSONALITY_STATIC_DEFENCE_DOCTRINE_		Land Fort constr. Bonus -10%, Inf and AT. constr. bonus -5%, Inf and AT def. mod. +5% 

// Chief of Navy:
70_PERSONALITY_BASE_CONTROL_DOCTRINE_		marine and transport construction -10%, DD constr. -5%,CL and CA constr. +5% BC and BB off. combat mod. -10%
71_PERSONALITY_DECISIVE_NAVAL_BATTLE_DOCTRINE_	BB, BC, CA and CL +5% off. combat mod. -10% off. combat mod to CV
72_PERSONALITY_INDIRECT_APPROACH_DOCTRINE_	DD and TP constr -5%, BC and SS off. combat mod. +10%
73_PERSONALITY_OPEN_SEAS_DOCTRINE_		CV, CL, DD and TP def. combat mod. + 5%, SS def. combat mod. -10%
74_PERSONALITY_POWER_PROJECTION_DOCTRINE_       BB, CA, CL off. combat mod. +5%. CV off. combat mod. +10%, TP and DD constr. +10%

// Chief of Air Force:
75_PERSONALITY_AIR_SUPERIORITY_DOCTRINE_	FGT, INT and AA constr -5%. FGT, INT off. and def. combat mod. +5%, strategic and naval bombers constr. +10%
76_PERSONALITY_ARMY_AVIATION_DOCTRINE_		TAC and CAS, constr. -5% off and def. combat mod. +5%, strategic bombers constr. +10% 
77_PERSONALITY_CARPET_BOMBING_DOCTRINE_		Strat. bombers and Esc.FGT constr. bonus -10%, Strat. off. +10% def. +5% combat mod. Escorts. def.+10% off. +5% combat mod.
78_PERSONALITY_NAVAL_AVIATION_DOCTRINE_		CV def. combat mod.+5%, Nav.Bomber off and Def. combat mod.+5% constr.-5% Strat. bombers constr. +10% 
79_PERSONALITY_VERTICAL_ENVELOPMENT_DOCTRINE_	paratrooper and transport plane construction -5%. Para. off combat modifier +10%, def. combat modifier +5% 

// All Ministers:
80_PERSONALITY_UNDISTINGUISHED_SUIT_ 		None

// DH Ministers:

83_PERSONALITY_ADMINISTRATIVE_GENIUS		5% IC, 5% energy, 5% metal, 5% rares
84_PERSONALITY_RESOURCE_INDUSTRIALIST		2.5% IC, 2.5% energy, 2.5% metal, 2.5% rares, -10% industry research time

// TRP Ministers:
81_PERSONALITY_PARANOID_EGOMANIAC			-5% IC, -75% leader skill, +200% upgrade cost, -10% dissent
82_PERSONALITY_STERN_IMPERIALIST			+25% diplo. cost for opp. align., +20% dissent, +10% stockpiles, -5% armor research time
85_PERSONALITY_Aerial Warfare Doctrine:     Prov. AA and AA brigade constr -15%, SPAA -10%
86_PERSONALITY_Coastal Defense Doctrine:    CA +10% off. combat mod., CL, DD and DL +5% def. combat mod., CA constr. -5%, CA moral +5%, BB and BC constr. +20%
87_PERSONALITY_OIL_INDUSTRIALIST:           Stockpile supplies +10%, Oil-production +15%
88_PERSONALITY_REARMAMENT_INDUSTRIALIST:    Upgrade time -20%
89_PERSONALITY_MERCHANT_NAVY_FOCUS			-25% costs for trade agreements, +5% TC, +15% stockpiles
