EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
580027;Minister of Armament;Santiago Aznar;36;LWR;Corrupt Kleptocrat;High;M580027;x
580028;Minister of Armament;Gonzalo Nardiz;36;LWR;laissez-faire capitalist;High;unknown;x
580029;Minister of Security;Justo Gárate;36;LWR;Efficient Sociopath;Very High;M580022;x
580030;Minister of Security;Anacleto Ortueta;36;LWR;Silent Lawyer;High;unknown;x
580031;Head of Military Intelligence;Jesús Larrañaga;36;LWR;Industrial Specialist;High;M580031;x
580032;Head of Military Intelligence;Francisco Ciutat de Miguel;36;LWR;Logistics Specialist;Medium;M580032;x
580033;Chief of Staff;Anacleto Ortueta;36;LWR;School of Fire Support;High;unknown;x
580034;Chief of Staff;Justo Gárate;36;LWR;School of Psychology;Very High;M580022;x
580035;Chief of Army;Felix Likiniano;36;LE;Decisive Battle Doctrine;High;M580035;x
580036;Chief of Army;Kepa Ordoki;36;LE;Guns and Butter Doctrine;High;M580036;x
580037;Chief of Navy;Rafael Menchaca;36;ST;Indirect Approach Doctrine;High;M580037;x
580038;Chief of Navy;Manuel Galdós;36;LWR;Open Seas Doctrine;High;M580038;x
580039;Chief of Air Force;Ignacio Hidalgo de Cisneros;36;LWR;Carpet Bombing Doctrine;Medium;M11030;x
580040;Chief of Air Force;Pablo Rada;36;LWR;Naval Aviation Doctrine;High;M580040;x
580041;Head of State;Carlos XI de Habsburgo;36;PA;Benevolent Gentleman;High;M580041;x
580042;Head of State;Carlos XII Antonio de Habsburgo;36;PA;Insignificant Layman;Medium;M580042;x
580043;Head of Government;Pedro Mourlane Michelena;36;FA;Flamboyant Tough Guy;Very High;unknown;x
580044;Head of Government;José Felix Lequerica;36;PA;Silent Workhorse;High;M580044;x
580045;Foreign Minister;José María de Areilza;36;PA;Great Compromiser;Very High;M580045;x
580046;Foreign Minister;José Felix Lequerica;36;PA;Biased Intellectual;High;M580044;x
580047;Minister of Armament;José Luis Arrese;36;FA;Resource Industrialist;Medium;M580047;x
580048;Minister of Armament;Alejandro Goicoechea;36;PA;Administrative Genius;High;M580048;x
580049;Minister of Security;Rafael Sánchez Mazas;36;FA;Compassionate Gentleman;High;M580049;x
580050;Minister of Security;Pedro Mourlane Michelena;36;FA;Crime Fighter;Very High;unknown;x
580051;Head of Military Intelligence;Manuel Aznar;36;PA;Political Specialist;Medium;M580051;x
580052;Head of Military Intelligence;Alejandro Goicoechea;36;PA;Logistics Specialist;High;M580048;x
580053;Chief of Staff;Carlos XI de Habsburgo;36;PA;School of Manoeuvre;High;M580041;x
580054;Chief of Staff;Carlos XII Antonio de Habsburgo;36;PA;School of Defence;Medium;M580042;x
580055;Chief of Army;Alejandro Goicoechea;36;PA;Static Defence Doctrine;High;M580048;x
580056;Chief of Army;Enrique Sotomayor;36;FA;Decisive Battle Doctrine;Medium;unknown;x
580057;Chief of Navy;Felipe Abárzuza;36;PA;Merchant Navy Focus;High;unknown;x
580058;Chief of Navy;Francisco Nuñez de Olañeta;36;PA;Indirect Approach Doctrine;Very High;M580058;x
580059;Chief of Air Force;Ángel Salas;36;PA;Vertical Envelopment Doctrine;High;M580059;x
580060;Chief of Air Force;Esteban Ibarreche;36;PA;Carpet Bombing Doctrine;High;unknown;x
580061;Head of State;Enrique V de Borbón-Parma;36;PA;Weary Stiffneck;Medium;M580061;x
580062;Head of State;José I de Borbón-Parma;36;PA;Insignificant Layman;Medium;M580062;x
580063;Head of State;Elías I de Borbón-Parma;39;PA;Popular Figurehead;High;M580063;x
580064;Chief of Staff;Enrique V de Borbón-Parma;36;PA;School of Manoeuvre;Medium;M580061;x
580065;Chief of Staff;José I de Borbón-Parma;36;PA;School of Defence;Medium;M580062;x
580066;Chief of Staff;Elías I de Borbón-Parma;39;PA;School of Fire Support;High;M580063;x
