# New unit, CVL
	airattack			= 5
	shorebombardment		= 0 
	transportcapability		= 0
	range				= 6400
	supplyconsumption		= 1.883
	fuelconsumption			= 2.4
	distance			= 0.1
	reinforce_time = 0.2
	reinforce_cost = 3.5
	equipment 	= {  manpower = 3000 carrier = 1 }
}
# 8 - CVL 1960 (32000 to)
model = {
	cost				= 4.52
	buildtime 			= 1000
	defaultorganisation 		= 58
	morale				= 68
	manpower			= 3
	maxspeed			= 33
	surfacedetectioncapability	= 0.35
	airdetectioncapability		= 2
	subdetectioncapability		= 0.35
	visibility			= 16
	seadefence			= 6
	airdefence			= 21
	seaattack			= 2
	convoyattack			= 1
	subattack			= 0.01
	airattack			= 6
	shorebombardment		= 1 
	transportcapability		= 0
	range				= 7200
	supplyconsumption		= 1.883
	fuelconsumption			= 3.2
	distance			= 0.1
	reinforce_time = 0.2
	reinforce_cost = 3.5
	equipment 	= {  manpower = 3500 carrier = 1 }
}
