#Light Armor		
		
#1928 Light Armor -	0	
	defaultorganisation =	0
	morale =	0
	defensiveness =	6
	toughness =	8
	softness =	-12
	suppression =	0
	airdefence =	3
	softattack =	7
	hardattack =	6
	airattack =	0
	supplyconsumption =	0.98
	fuelconsumption =	1.01
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000      horses = 100 trucks = 135 halftracks = 10 armored_car = 10 light_armor = 35 medium_armor = 25                         }
} 		
#1940 Light Armor -	5	
model = { 		
	cost =	5.69
	buildtime =	160
	# ICdays	910.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	6
	toughness =	9
	softness =	-12
	suppression =	0
	airdefence =	3
	softattack =	7
	hardattack =	7
	airattack =	0
	supplyconsumption =	1.01
	fuelconsumption =	1.12
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000      horses = 100 trucks = 135 halftracks = 10 armored_car = 10 light_armor = 35 medium_armor = 25                         }
} 		
#1941 Light Armor -	6	
model = { 		
	cost =	5.86
	buildtime =	160
	# ICdays	937.6
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	7
	toughness =	10
	softness =	-12
	suppression =	0
	airdefence =	4
	softattack =	8
	hardattack =	7
	airattack =	0
	supplyconsumption =	1.04
	fuelconsumption =	1.12
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000      horses = 100 trucks = 135 halftracks = 10 armored_car = 10 light_armor = 30 medium_armor = 30                         }
} 		
#1942 Light Armor -	7	
model = { 		
	cost =	6.04
	buildtime =	160
	# ICdays	966.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	7
	toughness =	10
	softness =	-12
	suppression =	0
	airdefence =	4
	softattack =	8
	hardattack =	8
	airattack =	0
	supplyconsumption =	1.07
	fuelconsumption =	1.24
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000      horses = 75 trucks = 140 halftracks = 15 armored_car = 5 light_armor = 30 medium_armor = 35                         }
} 		
#1943 Light Armor -	8	
model = { 		
	cost =	6.22
	buildtime =	160
	# ICdays	995.2
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	7
	toughness =	11
	softness =	-12
	suppression =	0
	airdefence =	4
	softattack =	9
	hardattack =	8
	airattack =	0
	supplyconsumption =	1.11
	fuelconsumption =	1.24
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000    anti_air = 5  horses = 75 trucks = 140 halftracks = 15 armored_car = 5 light_armor = 20 medium_armor = 45                         }
} 		
#1944 Light Armor -	9	
model = { 		
	cost =	6.41
	buildtime =	160
	# ICdays	1025.6
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	8
	toughness =	11
	softness =	-12
	suppression =	0
	airdefence =	4
	softattack =	9
	hardattack =	8
	airattack =	0
	supplyconsumption =	1.14
	fuelconsumption =	1.35
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000    anti_air = 5  horses = 50 trucks = 145 halftracks = 20 armored_car = 5 light_armor = 15 medium_armor = 50                         }
} 		
#1945 Light Armor -	10	
model = { 		
	cost =	6.6
	buildtime =	160
	# ICdays	1056
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	8
	toughness =	12
	softness =	-12
	suppression =	0
	airdefence =	5
	softattack =	10
	hardattack =	9
	airattack =	0
	supplyconsumption =	1.17
	fuelconsumption =	1.35
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000    anti_air = 10   trucks = 150 halftracks = 25 armored_car = 5 light_armor = 10 medium_armor = 55                         }
} 		
#1947 Light Armor -	11	
model = { 		
	cost =	7
	buildtime =	160
	# ICdays	1120
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	9
	toughness =	14
	softness =	-12
	suppression =	0
	airdefence =	5
	softattack =	11
	hardattack =	10
	airattack =	0
	supplyconsumption =	1.24
	fuelconsumption =	1.5
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.47
	equipment =	{ manpower = 3000    anti_air = 10   trucks = 150 halftracks = 25 armored_car = 5 light_armor = 10 medium_armor = 55                         }
} 		
#1948 Light Armor -	12	
model = { 		
	cost =	7.14
	buildtime =	160
	# ICdays	1142.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	10
	toughness =	14
	softness =	-12
	suppression =	0
	airdefence =	5
	softattack =	11
	hardattack =	10
	airattack =	0
	supplyconsumption =	1.27
	fuelconsumption =	1.5
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.25
	equipment =	{ manpower = 3000    anti_air = 10   trucks = 150 halftracks = 25 armored_car = 5 light_armor = 10 medium_armor = 55                         }
} 		
#1950 Light Armor -	13	
model = { 		
	cost =	7.43
	buildtime =	160
	# ICdays	1188.8
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	10
	toughness =	15
	softness =	-12
	suppression =	0
	airdefence =	6
	softattack =	12
	hardattack =	11
	airattack =	0
	supplyconsumption =	1.32
	fuelconsumption =	1.5
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.47
	equipment =	{ manpower = 3000    anti_air = 15   trucks = 155 halftracks = 30   medium_armor = 65                         }
} 		
#1953 Light Armor -	14	
model = { 		
	cost =	7.89
	buildtime =	160
	# ICdays	1262.4
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	12
	toughness =	17
	softness =	-12
	suppression =	0
	airdefence =	7
	softattack =	14
	hardattack =	13
	airattack =	0
	supplyconsumption =	1.4
	fuelconsumption =	1.5
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.65
	equipment =	{ manpower = 3000    anti_air = 15   trucks = 155 halftracks = 30   medium_armor = 65                         }
} 		
#1956 Light Armor -	15	
model = { 		
	cost =	8.37
	buildtime =	160
	# ICdays	1339.2
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	13
	toughness =	19
	softness =	-12
	suppression =	0
	airdefence =	7
	softattack =	16
	hardattack =	14
	airattack =	0
	supplyconsumption =	1.49
	fuelconsumption =	1.5
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.65
	equipment =	{ manpower = 3000    anti_air = 15   trucks = 155 halftracks = 30   medium_armor = 65                         }
} 		
#1960 Light Armor -	16	
model = { 		
	cost =	9.06
	buildtime =	160
	# ICdays	1449.6
	manpower =	3
	maxspeed =	0
	defaultorganisation =	0
	morale =	0
	defensiveness =	15
	toughness =	23
	softness =	-12
	suppression =	0
	airdefence =	9
	softattack =	18
	hardattack =	17
	airattack =	0
	supplyconsumption =	1.61
	fuelconsumption =	1.5
	reinforce_time =	0.5
	reinforce_cost =	1.4
	upgrade_time_factor =	0.6
	upgrade_cost_factor =	0.8
	equipment =	{ manpower = 3000    anti_air = 15   trucks = 155 halftracks = 30   medium_armor = 65                         }
} 		
